Polymer Index,type_A,type_B1,type_B2,type_C,composition_A,composition_B1,composition_B2,composition_C,block_sequence_theoretical,block_sequence_experimental,dpn,Target,NMR,GPC,clogP,Dispersity,MIC_PAO1,MIC_PA,MIC_EC,MIC_AB,MIC_SA,MIC_MSmeg,MIC_PAO1_PA
113,DMAEA,PEAm,NIPAm,HEAm,0.3,0.0,0.22999999999999998,0.47,,,40,5162,3800.0,12500.0,,1.34,128.0,,,,128.0,128.0,128
114,DMAEA,PEAm,NIPAm,HEAm,0.3,0.47,0.0,0.23,,,40,6302,5000.0,11600.0,,1.3,128.0,,,,128.0,128.0,128
115,DMAEA,PEAm,NIPAm,HEAm,0.3,0.31,0.15999999999999995,0.23,,,40,5916,4300.0,12300.0,,1.36,128.0,,,,128.0,64.0,128
116,DMAEA,PEAm,NIPAm,HEAm,0.3,0.16,0.30999999999999994,0.23,,,40,5530,3300.0,11500.0,,1.35,128.0,,,,128.0,128.0,128
117,DMAEA,PEAm,NIPAm,HEAm,0.3,0.0,0.47,0.23,,,40,5143,2800.0,11300.0,,1.4,128.0,,,,128.0,128.0,128
118,DMAEA,PEAm,NIPAm,HEAm,0.3,0.7,0.0,0.0,,,40,6863,4500.0,10400.0,,1.32,128.0,,,,128.0,128.0,128
119,DMAEA,PEAm,NIPAm,HEAm,0.3,0.47,0.22999999999999998,0.0,,,40,6284,3000.0,9700.0,,1.31,128.0,,,,128.0,128.0,128
120,DMAEA,PEAm,NIPAm,HEAm,0.3,0.23,0.47,0.0,,,40,5704,4300.0,10100.0,,1.36,128.0,,,,128.0,32.0,128
121,DMAEA,PEAm,NIPAm,HEAm,0.3,0.0,0.7,0.0,,,40,5125,3300.0,8500.0,,1.35,128.0,,,,128.0,128.0,128
122,AAPTAC,PEAm,NIPAm,HEAm,1.0,0.0,0.0,0.0,,,40,8507,6500.0,,,,128.0,,,,32.0,32.0,128
123,AAPTAC,PEAm,NIPAm,HEAm,0.7,0.0,0.0,0.3,,,40,7408,6000.0,,,,128.0,,,,128.0,32.0,128
124,AAPTAC,PEAm,NIPAm,HEAm,0.7,0.1,0.0,0.2,,,40,7648,6500.0,,,,128.0,,,,128.0,32.0,128
125,AAPTAC,PEAm,NIPAm,HEAm,0.7,0.07,0.030000000000000027,0.2,,,40,7564,6400.0,,,,128.0,,,,128.0,64.0,128
126,AAPTAC,PEAm,NIPAm,HEAm,0.7,0.03,0.07,0.2,,,40,7481,5700.0,,,,128.0,,,,128.0,64.0,128
127,AAPTAC,PEAm,NIPAm,HEAm,0.7,0.0,0.10000000000000003,0.2,,,40,7400,5000.0,,,,128.0,,,,128.0,32.0,128
128,AAPTAC,PEAm,NIPAm,HEAm,0.7,0.2,0.0,0.1,,,40,7889,5700.0,,,,128.0,,,,128.0,32.0,128
129,AAPTAC,PEAm,NIPAm,HEAm,0.7,0.13,0.07000000000000003,0.1,,,40,7721,5300.0,,,,128.0,,,,128.0,64.0,128
130,AAPTAC,PEAm,NIPAm,HEAm,0.7,0.07,0.13000000000000003,0.1,,,40,7556,5700.0,,,,128.0,,,,128.0,64.0,128
131,AAPTAC,PEAm,NIPAm,HEAm,0.7,0.0,0.20000000000000004,0.1,,,40,7392,4800.0,,,,128.0,,,,128.0,32.0,128
132,AAPTAC,PEAm,NIPAm,HEAm,0.7,0.3,0.0,0.0,,,40,8129,5600.0,,,,128.0,,,,128.0,32.0,128
133,AAPTAC,PEAm,NIPAm,HEAm,0.7,0.2,0.10000000000000003,0.0,,,40,7881,4600.0,,,,128.0,,,,128.0,64.0,128
134,AAPTAC,PEAm,NIPAm,HEAm,0.7,0.1,0.20000000000000004,0.0,,,40,7632,5000.0,,,,128.0,,,,128.0,64.0,128
135,AAPTAC,PEAm,NIPAm,HEAm,0.7,0.0,0.30000000000000004,0.0,,,40,7384,4400.0,,,,128.0,,,,128.0,64.0,128
136,AAPTAC,PEAm,NIPAm,HEAm,0.5,0.0,0.0,0.5,,,40,6675,5700.0,,,,128.0,,,,128.0,32.0,128
137,AAPTAC,PEAm,NIPAm,HEAm,0.5,0.17,0.0,0.33,,,40,7075,5800.0,,,,128.0,,,,128.0,64.0,128
138,AAPTAC,PEAm,NIPAm,HEAm,0.5,0.11,0.06,0.33,,,40,6937,5400.0,,,,128.0,,,,128.0,64.0,128
139,AAPTAC,PEAm,NIPAm,HEAm,0.5,0.06,0.10999999999999999,0.33,,,40,6799,4800.0,,,,128.0,,,,128.0,64.0,128
140,AAPTAC,PEAm,NIPAm,HEAm,0.5,0.0,0.16999999999999998,0.33,,,40,6661,4400.0,,,,128.0,,,,128.0,64.0,128
141,AAPTAC,PEAm,NIPAm,HEAm,0.5,0.33,0.0,0.17,,,40,7476,5000.0,,,,128.0,,,,128.0,32.0,128
142,AAPTAC,PEAm,NIPAm,HEAm,0.5,0.22,0.11000000000000001,0.17,,,40,7201,4700.0,,,,128.0,,,,128.0,64.0,128
143,AAPTAC,PEAm,NIPAm,HEAm,0.5,0.11,0.22,0.17,,,40,6925,4700.0,,,,128.0,,,,128.0,64.0,128
